Date,Consumption (Kwh)
01-04-2021 00:00,13.72782353
01-04-2021 01:00,13.14647059
01-04-2021 02:00,14.01894118
01-04-2021 03:00,14.20511765
01-04-2021 04:00,14.24970588
01-04-2021 05:00,13.41494118
01-04-2021 06:00,14.50035294
01-04-2021 07:00,14.94711765
01-04-2021 08:00,15.10564706
01-04-2021 09:00,16.03958824
01-04-2021 10:00,16.50829412
01-04-2021 11:00,16.85735294
01-04-2021 12:00,16.78141176
01-04-2021 13:00,16.47047059
01-04-2021 14:00,16.15547059
01-04-2021 15:00,15.79764706
01-04-2021 16:00,15.86829412
01-04-2021 17:00,16.07794118
01-04-2021 18:00,16.54594118
01-04-2021 19:00,15.87382353
01-04-2021 20:00,15.99352941
01-04-2021 21:00,15.77
01-04-2021 22:00,15.91141176
01-04-2021 23:00,16.02035294
02-04-2021 00:00,16.52817647
02-04-2021 01:00,16.62841176
02-04-2021 02:00,15.75317647
02-04-2021 03:00,15.24058824
02-04-2021 04:00,15.08476471
02-04-2021 05:00,15.47829412
02-04-2021 06:00,15.75
02-04-2021 07:00,16.2
02-04-2021 08:00,16.46358824
02-04-2021 09:00,15.97205882
02-04-2021 10:00,15.92147059
02-04-2021 11:00,15.905
02-04-2021 12:00,15.905
02-04-2021 13:00,15.32535294
02-04-2021 14:00,16.06288235
02-04-2021 15:00,16.41141176
02-04-2021 16:00,15.81194118
02-04-2021 17:00,15.51470588
02-04-2021 18:00,15.89829412
02-04-2021 19:00,16.20311765
02-04-2021 20:00,15.32823529
02-04-2021 21:00,14.69529412
02-04-2021 22:00,14.12741176
02-04-2021 23:00,12.94688235
03-04-2021 00:00,11.88829412
03-04-2021 01:00,11.19141176
03-04-2021 02:00,10.79288235
03-04-2021 03:00,9.985647059
03-04-2021 04:00,10.17411765
03-04-2021 05:00,11.18388235
03-04-2021 06:00,10.90694118
03-04-2021 07:00,10.56052941
03-04-2021 08:00,10.24294118
03-04-2021 09:00,9.837470588
03-04-2021 10:00,10.02123529
03-04-2021 11:00,10.01535294
03-04-2021 12:00,10.32758824
03-04-2021 13:00,10.71623529
03-04-2021 14:00,11.33876471
03-04-2021 15:00,11.99394118
03-04-2021 16:00,12.51405882
03-04-2021 17:00,13.25105882
03-04-2021 18:00,14.28005882
03-04-2021 19:00,15.22964706
03-04-2021 20:00,15.98805882
03-04-2021 21:00,15.91382353
03-04-2021 22:00,14.95435294
03-04-2021 23:00,15.17982353
04-04-2021 00:00,15.44664706
04-04-2021 01:00,15.76341176
04-04-2021 02:00,15.79041176
04-04-2021 03:00,14.97776471
04-04-2021 04:00,15.31935294
04-04-2021 05:00,15.06929412
04-04-2021 06:00,15.025
04-04-2021 07:00,15.93305882
04-04-2021 08:00,16.82952941
04-04-2021 09:00,17.31694118
04-04-2021 10:00,17.16794118
04-04-2021 11:00,17.09811765
04-04-2021 12:00,16.94717647
04-04-2021 13:00,16.75864706
04-04-2021 14:00,16.27794118
