datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4,total,new
2007-01-01,2749.00400000002,148.166,345785.73,11400.4,0,352,5880,39584.7332752,62.32,14.441
2007-01-02,1269.236,190.342,348399.04,5348.2,0,348,6562,14243.9333455,69.1,14.5255882352941
2007-01-03,1014.054,196.728,350722.21,4340.19999999999,0,344,4765,11791.900019,51.09,13.6754705882353
2007-01-04,3259.41199999999,202.302,345240.43,13648.6,1051,7597,10896,34779.5332894,195.44,13.7838235294118
2007-01-05,2713.36399999999,173.154,346313.9,11354.6,1483,379,7602,35758.733384,94.64,13.4794705882353
2007-01-06,1508.378,192.187999999999,345129.2,6543.19999999999,1336,402,5678,17723.6333396,74.16,12.9327058823529
2007-01-07,2447.62,246.074,346899.58,10487,1987,8177,12810,17819.6666662,229.74,13.4068823529412
2007-01-08,2241.36,207.568,344990.81,9434.40000000002,0,467,17547,19342.0000013,180.14,13.6058235294118
2007-01-09,1869.054,207.248,346302.03,7950.39999999999,1688,4267,9790,15405.8999564,157.45,13.4837647058823
2007-01-10,2154.8,228.451999999999,347079.53,9155.20000000002,771,4456,11012,19674.3333163,162.39,13.6345294117647
2007-01-11,2255.194,230.02,347264.19,9587.99999999998,1378,2170,12415,21623.5666732,159.63,13.7278235294118
2007-01-12,1461.296,199.14,347815.020000001,6205.2,0,439,8276,15639.9333304,87.15,13.1464705882353
2007-01-13,3186.814,290.736,344568.4,13612.4,7806,2975,11341,30991.5666556,221.22,14.0189411764706
2007-01-14,3009.442,227.278,343904.48,12912.2,1777,4215,12975,31190.3667211,189.67,14.2051176470588
2007-01-15,2148.678,174.86,347386.91,9016.6,1099,2239,15163,17310.2999893,185.01,14.2497058823529
2007-01-16,1686.404,185.428,348400.45,7165.4,2063,644,6583,18816.7333279,92.9,13.4149411764706
2007-01-17,2847.688,200.752,347047.56,11928.8,3500,5737,16064,22160.466657,253.01,14.5003529411765
2007-01-18,1821.462,177.712,346886.78,7693.19999999997,0,336,13491,16530.6999898,138.27,14.9471176470588
2007-01-19,1480.44,170.052,345831.76,6301.8,2103,330,7172,15068.9999604,96.05,15.1056470588235
2007-01-20,3133.732,238.362,343969.16,13461.2,4324,5222,11440,31242.8667284,209.86,16.0395882352941
2007-01-21,3407.262,229.736,344114.09,14674.6,10346,5567,11599,29275.700016,275.12,16.5082941176471
2007-01-22,2180.494,168.642,347908.51,9151.59999999996,1054,2983,11361,20943.5667026,153.98,16.8573529411765
2007-01-23,1777.64,138.28,349578.08,7575.60000000004,0,1064,5061,23502.3333195,61.25,16.7814117647059
2007-01-24,2987.854,178.06,347699.08,12576.4,3464,2480,11744,32109.5666041,176.88,16.4704705882353
2007-01-25,1596.344,144.16,350531.08,6666.2,1158,262,11239,13946.7333649,126.59,16.1554705882353
2007-01-26,1617.972,142.902,349591.38,6798.80000000001,1163,261,8238,17304.2000432,96.62,15.7976470588235
2007-01-27,2044.072,148.242,347927.86,8567.80000000003,1170,3896,12374,16627.8666549,174.4,15.8682941176471
2007-01-28,3091.58799999999,153.426,346039.259999999,13149,3466,3998,12063,31999.466676,195.27,16.0779411764706
2007-01-29,1982.664,165.696,346938.620000001,8336,1123,294,15254,16373.3999829,166.71,16.5459411764706
2007-01-30,1707.798,180.934,348250.86,7240.6,1123,1424,8149,17767.3000063,106.96,15.8738235294118
2007-01-31,2363.752,185.988,345486.43,9970,0,5950,15052,18393.8667504,210.02,15.9935294117647
2007-02-01,1824.76,150.264,346164.68,7678.79999999998,1170,386,13145,15711.6666979,147.01,15.77
2007-02-02,1667.736,139.542,346081.52,7013.99999999998,0,356,11338,16101.6000156,116.94,15.9114117647059
2007-02-03,4029.722,245.824,344030.68,17015,4746,4573,17834,40009.0332775001,271.53,16.0203529411765
2007-02-04,3595.94,186.494,345071.999999999,15214.2,3391,4597,14472,37472.3333353999,224.6,16.5281764705882
2007-02-05,1645.28,147.228,346766.85,6941.4,896,2564,7849,16112.3333279,113.09,16.6284117647059
2007-02-06,1273.48,142.566,347420.39,5431.60000000001,1185,405,4517,15117.6666643,61.07,15.7531764705882
2007-02-07,2328.018,177.708,347255.56,9780,3299,3513,11986,20002.3000318,187.98,15.2405882352941
2007-02-08,1801.414,138.896,348188.12,7557.59999999998,2226,366,10157,17274.5666375,127.49,15.0847647058823
2007-02-09,1620.198,158.066,348106.24,6807.2,0,3045,9770,14188.2999898,128.15,15.4782941176471
2007-02-10,2829.328,192.974,345653.029999999,11957.4,5071,2831,14405,24848.4666851,223.07,15.75
2007-02-11,3571.228,204.314,344888.85,15158.6,2430,4765,13114,39211.4666653,203.09,16.2
2007-02-12,1877.61,136.704,345741.84,7925,2227,399,11517,17150.4999843,141.43,16.4635882352941
2007-02-13,1414.546,134.678,347280.27,5967.00000000001,0,2828,6256,14491.7666781,90.84,15.9720588235294
2007-02-14,2498.672,202.506,346140.56,10533.8,3295,3793,11579,22977.5333302,186.67,15.9214705882353
2007-02-15,1985.346,165.964,346563.679999999,8381.2,0,2363,14028,16698.1000276,163.91,15.905
2007-02-16,1702.528,151.686,346782.16,7266.99999999995,1148,859,8689,17679.4667226,106.96,15.905
2007-02-17,2076.912,238.968,344615.09,8826.00000000001,1765,2226,7157,23467.1999938,111.48,15.3253529411765
2007-02-18,3829.76200000001,255.522,344405.960000001,16184,6107,8003,13129,36590.3666824001,272.39,16.0628823529412
2007-02-19,2186.614,176.584,345297,9276.80000000001,1634,2900,13085,18824.5667126,176.19,16.4114117647059
2007-02-20,3149.928,187.158,345406.24,13202.6000000001,2058,5191,9713,35536.8000263,169.62,15.8119411764706
2007-02-21,2072.874,189.87,346263.789999999,8747.2,3527,2332,11548,17140.8999931,174.07,15.5147058823529
2007-02-22,3374.356,138.46,343628.619999999,14214.2,1411,4132,12287,38409.2666192,178.3,15.8982941176471
2007-02-23,1313.48,149.344,346587.789999999,5508.59999999993,0,503,10786,10602.3333405,112.89,16.2031176470588
2007-02-24,714.922000000002,122.202,345402.87,3003.60000000004,0,363,3562,7990.3667023,39.25,15.3282352941176
2007-02-25,501.740000000001,113.736,348021.43,2105.6,0,329,1660,6373.33336539998,19.89,14.6952941176471
2007-02-26,568.484,108.28,347433.97,2388.8,0,331,2830,6313.7333472,31.61,14.1274117647059
2007-02-27,518.111999999997,113.204,349839.75,2195.40000000001,0,314,1924,6397.20001329998,22.38,12.9468823529412
2007-02-28,520.774000000001,113.372,348709.809999999,2201.00000000001,0,340,1973,6366.5666832,23.13,11.8882941176471
2007-03-01,517.564000000002,107.628,347502.82,2172.80000000001,0,316,1980,6330.06668290001,22.96,11.1914117647059
2007-03-02,515.688000000001,107.008,346451.9,2169.80000000001,0,340,1969,6285.80000160001,23.09,10.7928823529412
2007-03-03,819.122000000001,134.992,347454.84,3457.60000000001,0,347,4597,8708.03333760001,49.44,9.98564705882352
2007-03-04,2090.7,175.682,345642.91,8867.79999999999,1476,8711,9408,15249.9999962,195.95,10.1741176470588
2007-03-05,2660.332,205.956,345644.51,11290,5727,12109,10026,16476.8666521,278.62,11.1838823529412
2007-03-06,1246.5,186.148000000001,347022.82,5321.80000000001,0,1740,4700,14335.0000087,64.4,10.9069411764706
2007-03-07,2375.206,171.199999999999,346065.930000001,9986.4,1076,4761,15513,18236.7666856,213.5,10.5605294117647
2007-03-08,1572.132,187.404000000001,346558.21,6717.80000000004,2180,3385,6655,13982.2000121,122.2,10.2429411764706
2007-03-09,1272.612,119.238,346879.39,5373,1093,345,8631,11141.1999992,100.69,9.83747058823529
2007-03-10,2484.71200000001,243.528,345316.08,10572.4,4130,5422,10979,20880.8666573,205.31,10.0212352941176
2007-03-11,3480.636,173.374,345610.499999999,14575,4810,3420,9500,40280.6000373,177.3,10.0153529411765
2007-03-12,1950.668,134.422,346404.55,8248.99999999997,1403,2841,12353,15914.1333691,165.97,10.3275882352941
2007-03-13,1290.144,126.718,346893.07,5480.20000000001,1350,3859,5323,10970.4000181,105.32,10.7162352941176
2007-03-14,1793.364,157.522,346719.299999999,7585.2,3485,480,8607,17317.4000037,125.72,11.3387647058823
2007-03-15,1884.814,159.326,346003.91,7953.40000000001,0,3263,11036,17114.5666471,142.99,11.9939411764706
2007-03-16,1702.054,130.208,344919.07,7189,1106,4604,5370,17287.5666883,110.8,12.5140588235294
2007-03-17,2028.09,127.068,343043.5,8562.4,2208,359,12275,18959.5000559,148.42,13.2510588235294
2007-03-18,2371.046,241.45,347108.860000001,10091.4,6564,7369,5856,19728.4333323,197.89,14.2800588235294
2007-03-19,2152.518,144.764,346315.810000001,9046,1648,2686,14118,17423.3000018,184.52,15.2296470588235
2007-03-20,2086.228,164.87,346774.52,8857.79999999996,3745,2837,11255,16933.4667156,178.37,15.9880588235294
2007-03-21,2142.092,142.83,347020.77,8981.6,1865,4133,12335,17368.5333157,183.33,15.9138235294118
2007-03-22,1454.978,113.826,348139.48,6081.19999999998,353,736,10462,12698.6333514,115.51,14.9543529411765
2007-03-23,1309.008,119.488,347969.49,5477.40000000002,1127,777,8369,11543.7999759,102.73,15.1798235294118
2007-03-24,2968.43,191.024,345174.44,12532.8,3707,5797,16382,23587.8332956,258.86,15.4466470588235
2007-03-25,3338.404,236.124,345644.240000001,14000,4630,3600,9375,38035.0666648,176.05,15.7634117647059
2007-03-26,1416.082,160.966000000001,347525.009999999,6023.6,1088,344,9096,13073.3666561,105.28,15.7904117647059
2007-03-27,1105.14,151.726,346466.85,4747.00000000001,0,3019,3697,11703.0000266,67.16,14.9777647058824
2007-03-28,2333.898,196.518,346240.24,9870.59999999999,1122,8527,13888,15361.3000678,235.37,15.3193529411765
2007-03-29,1590.406,198.696,346372.83,6734.60000000002,1162,460,10724,14160.7666574,123.46,15.0692941176471
2007-03-30,1402.394,181.128,347096.49,6032.99999999999,1094,468,8217,13594.2332588,97.79,15.025
2007-03-31,3509.51,231.504,344535.51,14781.2,2620,7707,17682,30482.833339,280.09,15.9330588235294
2007-04-01,2785.95200000001,202.552,345635.260000001,11735.2,4629,5401,19509,16893.53333475,295.39,16.8295294117647
2007-04-02,1960.778,174.336,346262.57,8226.19999999999,1755,970,16641,13313.6333598,193.66,17.3169411764706
2007-04-03,1642.82,168.76,346327.14,6978.59999999999,3630,1042,7637,15071.3333527,123.09,17.1679411764706
2007-04-04,2051.868,172.318,346077.77,8620.19999999998,3434,420,14748,15595.7999757,186.02,17.0981176470588
2007-04-05,1844.078,244.538,347289.27,7907.8,1086,4277,10523,14848.633342,158.86,16.9471764705882
2007-04-06,1601.14,143.214,347305.61,6751.6,0,5466,9166,12053.6666942,146.32,16.7586470588235
2007-04-07,1553.924,138.73,346145.17,6572.99999999999,1127,3111,5923,15737.7333509,101.61,16.2779411764706
2007-04-08,1608.816,135.882,346102.82,6796.59999999999,0,485,3545,22783.6000185,40.3,15.8355294117647
2007-04-09,1000.92,160.11,346392.7,4283.4,2667,514,3801,9700.00002650001,69.82,15.6419411764706
2007-04-10,777.364,148.94,346771.73,3380.19999999999,209,742,2572,9433.06668709999,35.23,14.3264705882353
2007-04-11,887.482000000002,192.446000000001,347262.95,3771.00000000001,0,1112,6421,7258.366658,75.33,13.734
2007-04-12,537.706000000001,147.812,345968.73,2301.00000000001,0,541,1818,6602.76668770001,23.59,13.2534705882353
2007-04-13,551.022000000001,151.64,345672.7,2366.4,0,558,1988,6637.700028,25.46,13.0081764705882
2007-04-14,554.268000000002,155.61,346050.930000001,2378,0,578,2008,6651.8000271,25.86,11.7757647058824
2007-04-15,726.164,171.543999999999,345940.83,3148.6,0,1026,2893,8183.7333643,39.19,11.2800588235294
2007-04-16,952.39,186.074,346546.279999999,4136.4,952,1305,4656,8960.16665070001,69.13,11.1114705882353
2007-04-17,1223.734,218.354,345881.76,5314.8,1532,389,6199,12275.5666373,81.2,9.94152941176471
2007-04-18,998.246,165.224,345811.36,4313.39999999998,1579,355,3430,11273.43333499,53.64,8.5194705882353
2007-04-19,1028.658,149.66,346218.97,4400.39999999999,733,1605,5748,9058.29999906002,80.86,7.85594117647059
2007-04-20,822.58,145.646,345791.37,3592.6,1069,360,3499,8781.6666808,49.28,7.42176470588236
2007-04-21,1673.656,212.658,344467.06,7251.4,6575,463,11129,9727.26665578002,181.67,7.39617647058824
2007-04-22,2233.714,267.194,345036.79,9631.40000000001,4264,2287,11102,19575.5667604,176.53,7.50011764705883
2007-04-23,1054.566,135.64,341619.33,4700.4,1402,506,6005,9663.10000302001,79.13,7.10488235294118
2007-04-24,1032.1,135.264,338896.69,4528.59999999999,1125,527,6680,8869.66669864003,83.32,6.99729411764706
2007-04-25,1264.162,164.736,338315.2,5555.60000000002,0,1469,8812,10788.3666657,102.81,7.365
2007-04-26,1275.466,163.606,338093.71,5650.19999999999,1324,1845,7163,10925.76666541,103.32,7.56205882352942
2007-04-27,1094.332,161.928,338711.28,4770,1772,545,4756,11165.866667,70.73,7.77088235294118
2007-04-28,1113.694,163.744,338660.24,4850.4,1772,563,4756,11470.5666682,70.91,7.74488235294118
2007-04-29,1113.694,163.744,338660.24,4850.4,1772,563,4756,11470.5666682,70.91,8.02323529411765
2007-04-30,814.78,160.96,338452.48,3613.39999999998,1214,853,3299,8213.6666678,53.66,8.18911764705883
2007-05-01,1663.858,181.608,337937.329999999,7305.6,4005,995,8546,14184.9666822,135.46,8.83382352941177
2007-05-02,1003.486,160.092,339238.19,4523.79999999999,7,1490,3754,11473.76665321,52.51,8.91217647058824
2007-05-03,1090.238,150.942,338594.24,4763,1906,1725,7836,6703.63335770002,114.67,9.18005882352942
2007-05-04,998.128000000003,174.74,339422.68,4432.39999999998,2259,538,3990,9848.46665448001,67.87,9.10164705882353
2007-05-05,1563.052,174.102,338450.43,6819.99999999999,2913,2493,11303,9341.86665900001,167.09,9.769
2007-05-06,2102.104,182.335999999999,337549.9,9229,3215,949,10095,20776.06666319,142.59,10.1321176470588
2007-05-07,1643.664,168.918,337733.240000001,7172.60000000001,946,4935,9433,12080.4000218,153.14,10.7430588235294
2007-05-08,1789.292,181.612,338264.980000001,7713.20000000002,4581,2011,8777,14452.53337655,153.69,10.5784705882353
2007-05-09,1665.736,183.484,338218.16,7280.8,3018,5631,9474,9639.2666535,181.23,10.6061176470588
2007-05-10,707.884,168.314,339546.61,3177.79999999999,946,534,3261,7057.0666877,47.41,10.4195294117647
2007-05-11,979.154,132.095999999999,338730.85,4359.8,926,491,6471,8431.23333524,78.88,10.3934117647059
2007-05-12,1441.566,209.172,338000.98,6279.20000000001,2247,1075,10408,10296.0999722,137.3,10.5962941176471
2007-05-13,1634.738,220.67,339420.54,7155.60000000001,3612,2414,8958,12261.6333204,149.84,10.8699411764706
2007-05-14,1467.782,298.552,339393.7,6586.8,3176,2417,5517,13353.0333498,111.1,11.1074117647059
2007-05-15,904.392,111.182,339281.27,3935.99999999996,0,408,5318,9347.19999230001,57.26,11.0271176470588
2007-05-16,1692.944,135.894,338775.57,7303.39999999999,2213,5756,9077,11169.7332985,170.46,11.6127058823529
2007-05-17,1231.816,131.188,339650.58,5358.19999999999,1014,2073,7687,9756.266692,107.74,11.9308235294118
2007-05-18,1631.53,171.258,339832.219999999,7022.4,3270,3913,8116,11893.1666652,152.99,12.0339411764706
2007-05-19,1429.442,167.858,338320.4,6219.80000000001,4683,530,7022,11589.0333527,122.35,12.4447647058824
2007-05-20,1968.328,187.532,338901.29,8555.80000000001,5420,1733,7611,18041.4666962,147.64,12.6387058823529
2007-05-21,1120.062,117.28,337956.35,4807.6,0,468,9060,9139.70002940001,95.28,12.7999411764706
2007-05-22,1132.852,128.916,339092.03,4895.79999999999,931,3966,3984,9999.8666513,88.81,12.3394705882353
2007-05-23,1464.936,165.878,338129.989999999,6332.40000000001,956,3792,8119,11548.6000008,128.67,12.2575882352941
2007-05-24,1154.388,135.56,339186.33,4985.4,955,4116,4746,9422.80006740002,98.17,11.9342352941177
2007-05-25,1614.22,174.588,337603.97,7003.39999999999,8060,586,6539,11718.666634,151.85,11.9234117647059
2007-05-26,1512.248,174.24,338500.64,6570.39999999999,2373,2754,8628,11449.1333391,137.55,11.6664705882353
2007-05-27,2153.808,219.894,338268.15,9369.40000000002,4366,5534,10444,15552.8000352,203.44,12.5842941176471
2007-05-28,1637.468,151.1,338265.47,7087.59999999999,4554,473,9586,12678.1333175,146.13,12.9798823529412
2007-05-29,1061.34,113.244,339399.86,4618.4,0,1907,4332,11450.0000099,62.39,12.5392352941177
2007-05-30,1609.866,147.058,338157.21,6952.99999999999,2250,5948,7804,10829.1000237,160.02,12.5991176470588
2007-05-31,938.550000000001,129.586,338539,4020.2,935,477,3552,10678.4999738,49.64,12.2375882352941
2007-06-01,1046.09,143.516,338862.12,4517.39999999997,0,485,7664,9285.83335390002,81.49,12.3801176470588
